time,pressure,volume
0,21.973437804,140.871151
0.001,22.01098401,140.87115153
0.002,22.017892069,140.87115207
0.003,22.019829956,140.8711526
0.004,22.018528745,140.87115313
0.005,22.015741438,140.87115366
0.006,22.012221857,140.87115419
0.007,22.008793519,140.87115472
0.008,22.006195893,140.87115525
0.009,22.004879884,140.87115578
0.01,22.00500022,140.87115631
0.011,22.006421584,140.87115684
0.012,22.008781583,140.87115737
0.013,22.011591289,140.8711579
0.014,22.014374917,140.87115842
0.015,22.016797333,140.87115895
0.016,22.018738769,140.87115948
0.017,22.02029306,140.87116001
0.018,22.021662426,140.87116053
0.019,22.023056062,140.87116106
0.02,22.024619755,140.87116159
0.021,22.026413309,140.87116211
0.022,22.028428501,140.87116264
0.023,22.030625211,140.87116317
0.024,22.032964986,140.87116369
0.025,22.035432082,140.87116422
0.026,22.038039081,140.87116474
0.027,22.040822037,140.87116527
0.028,22.0438313,140.87116579
0.029,22.047122061,140.87116632
0.03,22.050751841,140.87116684
0.031,22.054779359,140.87116736
0.032,22.0592662,140.87116789
0.033,22.064279921,140.87116841
0.034,22.069894608,140.87116893
0.035,22.076191564,140.87116945
0.036,22.083259307,140.87116998
0.037,22.091193763,140.8711705
0.038,22.100099023,140.87117102
0.039,22.110085323,140.87117154
0.04,22.121267911,140.87117206
0.041,22.133766123,140.87117258
0.042,22.147702739,140.8711731
0.043,22.163203792,140.87117361
0.044,22.180400099,140.87117413
0.045,22.199425801,140.87117465
0.046,22.220418829,140.87117516
0.047,22.243521413,140.87117568
0.048,22.268879592,140.87117619
0.049,22.296643433,140.8711767
0.05,22.326968417,140.87117721
0.051,22.360014086,140.87117772
0.052,22.395943789,140.87117823
0.053,22.434923359,140.87117874
0.054,22.477122913,140.87117924
0.055,22.522717263,140.87117975
0.056,22.571884085,140.87118025
0.057,22.624802208,140.87118075
0.058,22.681653802,140.87118125
0.059,22.74262329,140.87118174
0.06,22.80789628,140.87118224
0.061,22.877664322,140.87118273
0.062,22.952123173,140.87118322
0.063,23.03147378,140.87118371
0.064,23.115922634,140.87118419
0.065,23.205681555,140.87118467
0.066,23.300968298,140.87118515
0.067,23.402006091,140.87118563
0.068,23.509022901,140.8711861
0.069,23.622252058,140.87118657
0.07,23.741932448,140.87118703
0.071,23.868310168,140.87118749
0.072,24.001638247,140.87118795
0.073,24.142178894,140.8711884
0.074,24.290200702,140.87118885
0.075,24.445985534,140.8711893
0.076,24.609827435,140.87118974
0.077,24.782031703,140.87119017
0.078,24.962911747,140.8711906
0.079,25.152790429,140.87119102
0.08,25.351998208,140.87119144
0.081,25.560871403,140.87119185
0.082,25.779758168,140.87119226
0.083,26.009015621,140.87119266
0.084,26.249011704,140.87119305
0.085,26.500116385,140.87119343
0.086,26.762707924,140.87119381
0.087,27.037164201,140.87119418
0.088,27.323861,140.87119454
0.089,27.623177196,140.8711949
0.09,27.935497226,140.87119524
0.091,28.261216028,140.87119558
0.092,28.600741786,140.8711959
0.093,28.954486046,140.87119622
0.094,29.322866521,140.87119653
0.095,29.706302184,140.87119682
0.096,30.105221481,140.87119711
0.097,30.520059603,140.87119738
0.098,30.951261516,140.87119764
0.099,31.399274989,140.87119789
0.1,31.864555787,140.87119813
0.101,32.347562923,140.87119835
0.102,32.848748645,140.87119857
0.103,33.36856092,140.87119876
0.104,33.907456624,140.87119894
0.105,34.465916195,140.87119911
0.106,35.044437102,140.87119926
0.107,35.643513199,140.87119939
0.108,36.26364372,140.87119951
0.109,36.905325865,140.87119961
0.11,37.569060765,140.8711997
0.111,38.255362664,140.87119976
0.112,38.964758406,140.8711998
0.113,39.697773509,140.87119983
0.114,40.45493327,140.87119984
0.115,41.236765007,140.87119982
0.116,42.043782351,140.87119978
0.117,42.876485724,140.87119972
0.118,43.735394862,140.87119964
0.119,44.621010081,140.87119953
0.12,45.533826389,140.8711994
0.121,46.474327238,140.87119925
0.122,47.443014715,140.87119907
0.123,48.440355558,140.87119886
0.124,49.466816407,140.87119862
0.125,50.522851587,140.87119836
0.126,51.608876498,140.87119807
0.127,52.725314106,140.87119775
0.128,53.872559765,140.8711974
0.129,55.051003281,140.87119701
0.13,56.26102317,140.8711966
0.131,57.502962642,140.87119615
0.132,58.777151041,140.87119566
0.133,60.083902739,140.87119515
0.134,61.423500587,140.87119459
0.135,62.796234622,140.87119401
