time,pressure,volume
0,17.054475878,140.871151
0.001,24.244551195,143.49263107
0.002,24.910087778,145.97381052
0.003,25.849022988,148.22090914
0.004,26.48812177,150.27715798
0.005,27.039093966,152.16763671
0.006,27.591536481,153.89862941
0.007,28.123339674,155.47687299
0.008,28.610362839,156.91252084
0.009,29.043263882,158.21710495
0.01,29.418883174,159.40236542
0.011,29.737273902,160.47977853
0.012,30.003893939,161.45992716
0.013,30.229876285,162.35175117
0.014,30.427877406,163.16224252
0.015,30.607064374,163.89682615
0.016,30.770907774,164.56012617
0.017,30.918288147,165.15665599
0.018,31.046329653,165.69114764
0.019,31.15310419,166.16849327
0.02,31.238957988,166.5934641
0.021,31.306320867,166.97041917
0.022,31.358587873,167.3031506
0.023,31.398923725,167.59489658
0.024,31.429509874,167.84847061
0.025,31.451378718,168.06642619
0.026,31.464614816,168.2511987
0.027,31.468763567,168.40519325
0.028,31.463231852,168.53081477
0.029,31.447613307,168.63045179
0.03,31.421890621,168.70643012
0.031,31.386496021,168.7609567
0.032,31.342257468,168.79607245
0.033,31.290294487,168.81363594
0.034,31.232177513,168.81640392
0.035,31.210979958,168.81640444
0.036,31.194796166,168.81640496
0.037,31.182562586,168.81640547
0.038,31.174900049,168.81640599
0.039,31.17136134,168.81640649
0.04,31.172512015,168.816407
0.041,31.178390017,168.8164075
0.042,31.188756996,168.816408
0.043,31.203398859,168.81640849
0.044,31.222236318,168.81640898
0.045,31.245343899,168.81640947
0.046,31.272920487,168.81640995
0.047,31.305240125,168.81641043
0.048,31.342606113,168.8164109
0.049,31.385317497,168.81641137
0.05,31.433650291,168.81641183
0.051,31.487862335,168.81641229
0.052,31.548206075,168.81641275
0.053,31.614937463,168.8164132
0.054,31.688324851,168.81641365
0.055,31.768659001,168.81641409
0.056,31.856257725,168.81641452
0.057,31.951459951,168.81641495
0.058,32.054621029,168.81641537
0.059,32.166104915,168.81641579
0.06,32.286287825,168.8164162
0.061,32.415560506,168.81641661
0.062,32.554325318,168.81641701
0.063,32.702988172,168.8164174
0.064,32.861969875,168.81641778
0.065,33.031723447,168.81641816
0.066,33.212717416,168.81641853
0.067,33.405421008,168.81641889
0.068,33.61032978,168.81641925
0.069,33.827962308,168.81641959
0.07,34.05884287,168.81641993
0.071,34.303504014,168.81642025
0.072,34.562495804,168.81642057
0.073,34.836391436,168.81642088
0.074,35.125783856,168.81642118
0.075,35.431265684,168.81642146
0.076,35.753428055,168.81642174
0.077,36.092846793,168.816422
0.078,36.450132045,168.81642225
0.079,36.82589782,168.81642249
0.08,37.220760492,168.81642272
0.081,37.635354852,168.81642293
0.082,38.070328361,168.81642313
0.083,38.52630399,168.81642332
0.084,39.003916134,168.81642349
0.085,39.503809254,168.81642364
0.086,40.026626629,168.81642378
0.087,40.573012769,168.8164239
0.088,41.143637565,168.81642401
0.089,41.739135557,168.81642409
0.09,42.360147072,168.81642416
0.091,43.007294884,168.81642421
0.092,43.681220404,168.81642424
0.093,44.382572697,168.81642425
0.094,45.112011796,168.81642423
0.095,45.870176843,168.8164242
0.096,46.657703621,168.81642414
0.097,47.475241914,168.81642406
0.098,48.323433021,168.81642395
0.099,49.2029016,168.81642382
0.1,50.114264299,168.81642366
0.101,51.058176301,168.81642348
0.102,52.035258036,168.81642327
0.103,53.046108154,168.81642303
0.104,54.091304704,168.81642276
0.105,55.171399181,168.81642246
0.106,56.28695989,168.81642212
0.107,57.438525377,168.81642176
0.108,58.626635346,168.81642136
0.109,59.851786969,168.81642093
0.11,61.114448231,168.81642047
0.111,62.415090874,168.81641997
0.112,63.754147069,168.81641943
0.113,64.868964571,168.78240366
0.114,65.657721949,168.6367081
0.115,66.294130623,168.41056619
0.116,66.821740424,168.12830896
0.117,67.280318797,167.80608881
0.118,67.696549932,167.45448157
0.119,68.088710038,167.08030625
0.12,68.468837729,166.68789692
0.121,68.844483704,166.28000758
0.122,69.220140264,165.85842145
0.123,69.598386604,165.42433628
0.124,69.980576144,164.97860691
0.125,70.367338459,164.52188929
0.126,70.75890199,164.05472454
0.127,71.155331531,163.57757866
0.128,71.556598757,163.09086353
0.129,71.962619686,162.59495294
0.13,72.373291291,162.09018816
0.131,72.788443948,161.57689064
0.132,73.207911521,161.05536516
0.133,73.631522044,160.52590223
0.134,74.059128038,159.98877761
0.135,74.490620331,159.44424956
0.136,74.925811528,158.89256567
0.137,75.364478641,158.33397389
0.138,75.806477314,157.76871264
0.139,76.251630953,157.19701378
0.14,76.699767432,156.61910384
0.141,77.150688775,156.03520723
0.142,77.60419954,155.44554691
0.143,78.060079663,154.85034786
0.144,78.518154164,154.249832
0.145,78.978217696,153.64422082
0.146,79.440089483,153.03373472
0.147,79.903533699,152.41859592
0.148,80.368401356,151.7990241
0.149,80.834527379,151.17523309
0.15,81.301688451,150.54743966
0.151,81.769696133,149.91586086
0.152,82.238372878,149.28071209
0.153,82.707590107,148.64220192
0.154,83.177127098,148.00054087
0.155,83.646814131,147.35593872
0.156,84.116473976,146.70860432
0.157,84.585959593,146.05874258
0.158,85.055080992,145.40655881
0.159,85.523731495,144.75225081
0.16,85.991791938,144.09600962
0.161,86.459115128,143.43802106
0.162,86.925501302,142.77847654
0.163,87.390861894,142.11756011
0.164,87.855098762,141.45544688
0.165,88.318064048,140.7923099
0.166,88.779646669,140.12831979
0.167,89.239723278,139.46364182
0.168,89.698199162,138.79843675
0.169,90.154889651,138.13286908
0.17,90.609784151,137.46709265
0.171,91.062828614,136.80124744
0.172,91.513902954,136.13547201
0.173,91.962891063,135.46990565
0.174,92.409648475,134.80468964
0.175,92.854055492,134.13996717
0.176,93.29606298,133.47587318
0.177,93.735506014,132.81254529
0.178,94.172389659,132.15011299
0.179,94.606619463,131.48869752
0.18,95.038108938,130.82842034
0.181,95.466632849,130.16941352
0.182,95.892131039,129.51181111
0.183,96.314627831,128.85572965
0.184,96.734016137,128.20128242
0.185,97.150198919,127.54858475
0.186,97.563134921,126.8977461
0.187,97.972762524,126.24887267
0.188,98.378998845,125.6020693
0.189,98.781877067,124.95742798
0.19,99.181305927,124.3150385
0.191,99.577183366,123.67499729
0.192,99.969508224,123.03739194
0.193,100.35818231,122.40231024
0.194,100.74319102,121.76983688
0.195,101.12444896,121.14005578
0.196,101.50196354,120.51304509
0.197,101.87575972,119.8888718
0.198,102.24574272,119.26760413
0.199,102.61188776,118.64930976
0.2,102.97414919,118.0340546
0.201,103.3324726,117.42190563
0.202,103.68686559,116.81292318
0.203,104.037243,116.2071702
0.204,104.38362239,115.60470504
0.205,104.72598109,115.00558123
0.206,105.0642818,114.4098524
0.207,105.39850894,113.81756956
0.208,105.72862669,113.22878286
0.209,106.05462673,112.64354013
0.21,106.37650201,112.06188561
0.211,106.69424976,111.48386
0.212,107.0078545,110.90950213
0.213,107.31730219,110.33884942
0.214,107.62258155,109.77193767
0.215,107.92368423,109.20880088
0.216,108.22060445,108.64947114
0.217,108.51333864,108.09397851
0.218,108.80188511,107.54235103
0.219,109.08624384,106.99461471
0.22,109.36641629,106.45079357
0.221,109.64240526,105.91090968
0.222,109.91421477,105.37498325
0.223,110.18185006,104.84303263
0.224,110.44531758,104.31507441
0.225,110.70462492,103.79112345
0.226,110.95978081,103.27119292
0.227,111.21079508,102.75529435
0.228,111.45767855,102.24343772
0.229,111.700443,101.73563143
0.23,111.93910114,101.23188242
0.231,112.17366651,100.73219622
0.232,112.40415348,100.23657696
0.233,112.63057718,99.745027453
0.234,112.85295345,99.257549247
0.235,113.07129883,98.774142671
0.236,113.28563048,98.294806883
0.237,113.49596614,97.819539929
0.238,113.70232412,97.348338788
0.239,113.90472322,96.881199423
0.24,114.10318274,96.418116834
0.241,114.29772237,95.959085098
0.242,114.48836222,95.504097428
